***	O	O
This	O	O
is	O	O
a	O	O
perm/direct	O	O
hire	O	O
position	O	O
.	O	O
We	O	O
are	O	O
not	O	O
working	O	O
C2C	O	O
or	O	O
with	O	O
consultants	O	O
***	O	O
KEY	O	O
JOB	O	O
FUNCTIONS	O	O
**	O	O
Collaborate	O	O
with	O	O
managers	O	O
or	O	O
practitioners	O	O
in	O	O
the	O	O
business	O	O
unit	O	O
to	O	O
determine	O	O
systems	O	O
requirements	O	O
and	O	O
functionalities	O	O
needed	O	O
in	O	O
new	O	O
or	O	O
revised	O	O
application	O	O
.	O	O
Perform	O	O
or	O	O
review	O	O
coding	O	O
done	O	O
to	O	O
render	O	O
specifications	O	O
into	O	O
application	O	O
functionalities	O	O
,	O	O
screens	O	O
,	O	O
or	O	O
outputs	O	O
.	O	O
Develop	O	O
test	O	O
plan	O	O
and/or	O	O
test	O	O
application	O	O
in	O	O
development	O	O
status	O	O
or	O	O
debug	O	O
application	O	O
in	O	O
production	O	O
mode	O	O
.	O	O
May	O	O
lead	O	O
a	O	O
small	O	O
project	O	O
or	O	O
a	O	O
segment	O	O
of	O	O
a	O	O
larger	O	O
project	O	O
.	O	O
May	O	O
mentor	O	O
or	O	O
provide	O	O
technical	O	O
guidance	O	O
to	O	O
less	O	O
experienced	O	O
staff	O	O
.	O	O
SPECIALIZED	O	O
KNOWLEDGE	O	O
&	O	O
SKILLS	O	O
**	O	O
Strong	O	O
coding	O	O
skills	O	O
in	O	O
Java	MISC	LANG
or	MISC	O
JavaScript	MISC	LANG
Enjoy	MISC	O
collaboration	O	O
with	O	O
others	O	O
and	O	O
working	O	O
on	O	O
a	O	O
fast-paced	O	O
team	O	O
Constant	O	O
desire	O	O
to	O	O
grow	O	O
,	O	O
learn	O	O
,	O	O
and	O	O
develop	O	O
Passionate	ORGANIZATION	O
about	O	O
designing	O	O
and	O	O
building	O	O
a	O	O
great	O	O
product	O	O
,	O	O
both	O	O
in	O	O
visual	O	TOOLS
presentation	O	O
but	O	O
also	O	O
in	O	O
technical	O	O
architecture	O	O
and	O	O
code	O	O
elegance	O	O
Degree	O	DEGREE
in	O	O
Computer	O	O
Science	O	O
Required	O	O
experience	O	EXP
:	O	O
Software	O	O
Development	O	O
:	O	O
1	O	EXP
year	O	EXP
Required	O	O
education	O	O
:	O	O
Bachelor	ORGANIZATION	DEGREE
's	O	O
