***	O
This	O
is	O
a	O
perm/direct	O
hire	O
position	O
.	O
We	O
are	O
not	O
working	O
C2C	O
or	O
with	O
consultants	O
***	O
KEY	O
JOB	O
FUNCTIONS	O
**	O
Collaborate	O
with	O
managers	O
or	O
practitioners	O
in	O
the	O
business	O
unit	O
to	O
determine	O
systems	O
requirements	O
and	O
functionalities	O
needed	O
in	O
new	O
or	O
revised	O
application	O
.	O
Perform	O
or	O
review	O
coding	O
done	O
to	O
render	O
specifications	O
into	O
application	O
functionalities	O
,	O
screens	O
,	O
or	O
outputs	O
.	O
Develop	O
test	O
plan	O
and/or	O
test	O
application	O
in	O
development	O
status	O
or	O
debug	O
application	O
in	O
production	O
mode	O
.	O
May	O
lead	O
a	O
small	O
project	O
or	O
a	O
segment	O
of	O
a	O
larger	O
project	O
.	O
May	O
mentor	O
or	O
provide	O
technical	O
guidance	O
to	O
less	O
experienced	O
staff	O
.	O
SPECIALIZED	O
KNOWLEDGE	O
&	O
SKILLS	O
**	O
Strong	O
coding	O
skills	O
in	O
Java	LANG
or	O
JavaScript	LANG
Enjoy	O
collaboration	O
with	O
others	O
and	O
working	O
on	O
a	O
fast-paced	O
team	O
Constant	O
desire	O
to	O
grow	O
,	O
learn	O
,	O
and	O
develop	O
Passionate	O
about	O
designing	O
and	O
building	O
a	O
great	O
product	O
,	O
both	O
in	O
visual	TOOLS
presentation	O
but	O
also	O
in	O
technical	O
architecture	O
and	O
code	O
elegance	O
Degree	DEGREE
in	O
Computer	O
Science	O
Required	O
experience	EXP
:	O
Software	O
Development	O
:	O
1	EXP
year	EXP
Required	O
education	O
:	O
Bachelor	DEGREE
's	O
